C:\Users\Lao Shi\protocol_laoshi\Select_with_using_fseq.exe -af -port 44442 
=========================================================================
                          Station A                                 
-------------------------------------------------------------------------
Protocol.lib, version 3.0, Build: Oct 19 2009 (jiangy@public3.bta.net.cn)
Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-005
Log file "C:\Users\Lao Shi\protocol_laoshi\Select_with_using_fseq-A.log", TCP port 44442, debug mask 0x00
Station A is waiting for station B on TCP port 44442 ... Done.
New epoch: Wed May 18 13:29:28 2016
=========================================================================
2.401 .... 7 packets received, 6743 bps, 84.29%, Err 1 (5.3e-005)
4.530 .... 15 packets received, 7220 bps, 90.25%, Err 1 (2.8e-005)
6.625 .... 23 packets received, 7418 bps, 92.72%, Err 1 (1.9e-005)
8.745 .... 31 packets received, 7496 bps, 93.70%, Err 1 (1.4e-005)
10.852 .... 39 packets received, 7551 bps, 94.39%, Err 1 (1.2e-005)
12.961 .... 47 packets received, 7588 bps, 94.84%, Err 1 (9.7e-006)
15.087 .... 55 packets received, 7605 bps, 95.06%, Err 1 (8.3e-006)
17.201 .... 63 packets received, 7623 bps, 95.29%, Err 2 (1.5e-005)
19.309 .... 71 packets received, 7639 bps, 95.49%, Err 2 (1.3e-005)
21.440 .... 79 packets received, 7644 bps, 95.55%, Err 2 (1.2e-005)
23.548 .... 87 packets received, 7656 bps, 95.70%, Err 2 (1.1e-005)
25.670 .... 95 packets received, 7661 bps, 95.77%, Err 2 (9.8e-006)
27.777 .... 103 packets received, 7670 bps, 95.88%, Err 2 (9.0e-006)
29.889 .... 106 packets received, 7331 bps, 91.63%, Err 3 (1.3e-005)
32.001 .... 118 packets received, 7617 bps, 95.22%, Err 3 (1.2e-005)
35.445 .... 126 packets received, 7337 bps, 91.71%, Err 4 (1.4e-005)
37.556 .... 138 packets received, 7581 bps, 94.76%, Err 4 (1.3e-005)
39.664 .... 146 packets received, 7591 bps, 94.89%, Err 4 (1.3e-005)
41.771 .... 154 packets received, 7601 bps, 95.01%, Err 4 (1.2e-005)
43.881 .... 162 packets received, 7608 bps, 95.11%, Err 4 (1.1e-005)
46.007 .... 170 packets received, 7613 bps, 95.16%, Err 4 (1.1e-005)
48.121 .... 178 packets received, 7619 bps, 95.24%, Err 4 (1.0e-005)
50.228 .... 186 packets received, 7626 bps, 95.32%, Err 4 (1.0e-005)
52.346 .... 194 packets received, 7630 bps, 95.38%, Err 4 (9.6e-006)
54.457 .... 202 packets received, 7635 bps, 95.44%, Err 5 (1.1e-005)
56.568 .... 210 packets received, 7640 bps, 95.50%, Err 5 (1.1e-005)
58.677 .... 218 packets received, 7645 bps, 95.56%, Err 5 (1.1e-005)
60.789 .... 226 packets received, 7649 bps, 95.61%, Err 5 (1.0e-005)
62.892 .... 234 packets received, 7653 bps, 95.67%, Err 5 (9.9e-006)
65.006 .... 242 packets received, 7657 bps, 95.71%, Err 5 (9.6e-006)
67.117 .... 250 packets received, 7660 bps, 95.75%, Err 5 (9.3e-006)
69.231 .... 258 packets received, 7663 bps, 95.78%, Err 5 (9.0e-006)
71.341 .... 266 packets received, 7666 bps, 95.82%, Err 5 (8.8e-006)
73.449 .... 274 packets received, 7669 bps, 95.86%, Err 5 (8.5e-006)
75.562 .... 282 packets received, 7671 bps, 95.89%, Err 5 (8.3e-006)
77.690 .... 290 packets received, 7672 bps, 95.90%, Err 5 (8.0e-006)
79.803 .... 298 packets received, 7674 bps, 95.93%, Err 5 (7.8e-006)
82.439 .... 303 packets received, 7553 bps, 94.41%, Err 7 (1.1e-005)
84.555 .... 314 packets received, 7630 bps, 95.38%, Err 7 (1.0e-005)
86.667 .... 322 packets received, 7633 bps, 95.42%, Err 7 (1.0e-005)
89.315 .... 327 packets received, 7521 bps, 94.02%, Err 8 (1.1e-005)
91.409 .... 339 packets received, 7618 bps, 95.23%, Err 8 (1.1e-005)
93.537 .... 347 packets received, 7620 bps, 95.25%, Err 8 (1.1e-005)
95.650 .... 355 packets received, 7623 bps, 95.29%, Err 8 (1.0e-005)
97.761 .... 363 packets received, 7626 bps, 95.32%, Err 8 (1.0e-005)
99.889 .... 371 packets received, 7628 bps, 95.34%, Err 8 (1.0e-005)
101.999 .... 379 packets received, 7630 bps, 95.38%, Err 9 (1.1e-005)
104.108 .... 387 packets received, 7633 bps, 95.41%, Err 9 (1.1e-005)
106.204 .... 395 packets received, 7637 bps, 95.46%, Err 9 (1.1e-005)
108.317 .... 403 packets received, 7639 bps, 95.49%, Err 9 (1.0e-005)
110.444 .... 411 packets received, 7640 bps, 95.50%, Err 9 (1.0e-005)
112.559 .... 419 packets received, 7642 bps, 95.53%, Err 9 (1.0e-005)
115.192 .... 424 packets received, 7556 bps, 94.45%, Err 11 (1.2e-005)
117.303 .... 435 packets received, 7613 bps, 95.16%, Err 11 (1.2e-005)
119.416 .... 443 packets received, 7615 bps, 95.19%, Err 11 (1.2e-005)
121.525 .... 451 packets received, 7618 bps, 95.22%, Err 11 (1.1e-005)
123.636 .... 459 packets received, 7620 bps, 95.25%, Err 11 (1.1e-005)
125.748 .... 467 packets received, 7622 bps, 95.28%, Err 11 (1.1e-005)
127.858 .... 475 packets received, 7625 bps, 95.31%, Err 11 (1.1e-005)
129.967 .... 483 packets received, 7627 bps, 95.34%, Err 11 (1.1e-005)
132.081 .... 491 packets received, 7629 bps, 95.36%, Err 11 (1.0e-005)
134.188 .... 499 packets received, 7631 bps, 95.39%, Err 11 (1.0e-005)
136.302 .... 507 packets received, 7633 bps, 95.42%, Err 11 (1.0e-005)
138.410 .... 515 packets received, 7635 bps, 95.44%, Err 11 (9.9e-006)
140.536 .... 523 packets received, 7637 bps, 95.46%, Err 11 (9.8e-006)
142.646 .... 530 packets received, 7624 bps, 95.30%, Err 12 (1.1e-005)
144.762 .... 538 packets received, 7626 bps, 95.32%, Err 12 (1.0e-005)
146.872 .... 546 packets received, 7628 bps, 95.35%, Err194.336 .... 392148.984 .... 554 packets received, 7630 bps, 95.37%, Er198.368 .... 393 packets received, 4084 bps, 51.05%, Err 9 (1.1e-005)
200.531 .... 394 packets received, 4050 bps, 50.63%, Err 10 (1.2e-005)
202.642 .... 401 packets received, 4079 bps, 50.99%, Err 10 (1.1e-005)
205.559 .... 408 packets received, 4091 bps, 51.13%, Err 12 (1.3e-005)
207.657 .... 418 packets received, 4148 bps, 51.86%, Err 12 (1.3e-005)
209.784 .... 426 packets received, 4185 bps, 52.31%, Err 12 (1.3e-005)
211.896 .... 434 packets received, 4221 bps, 52.76%, Err 12 (1.3e-005)
214.003 .... 442 packets received, 4256 bps, 53.20%, Err 12 (1.2e-005)
216.114 .... 450 packets received, 4290 bps, 53.63%, Err 12 (1.2e-005)
218.228 .... 458 packets received, 4324 bps, 54.05%, Err 12 (1.2e-005)
220.342 .... 466 packets received, 4357 bps, 54.46%, Err 12 (1.2e-005)
222.454 .... 474 packets received, 4389 bps, 54.87%, Err 12 (1.2e-005)
224.566 .... 482 packets received, 4421 bps, 55.27%, Err 12 (1.1e-005)
226.677 .... 490 p179.908 .... 664 packets received, 7570 bps, 94.63%, E228.792 .... 498 p182.020 .... 676 packets received, 7618 bps, 95.22%, E230.903 .... 506 p184.131 .... 684 packets received, 7619 bps, 95.24%, E233.014 .... 514 p186.242 .... 692 packets received, 7621 bps, 95.26%, E235.126 .... 522 p188.354 .... 700 packets received, 7622 bps, 95.28%, E237.235 .... 530 p190.465 .... 708 packets received, 7624 bps, 95.30%, E239.359 .... 538 p192.575 .... 716 packets received, 7625 bps, 95.32%, E241.471 .... 546 p194.688 .... 724 packets received, 7627 bps, 95.34%, E243.596 .... 554 p196.813 .... 732 packets received, 7628 bps, 95.35%, E245.695 .... 562 p198.923 .... 740 packets received, 7629 bps, 95.36%, E247.819 .... 570 p201.033 .... 748 packets received, 7631 bps, 95.38%, E249.928 .... 578 p203.145 .... 756 packets received, 7632 bps, 95.40%, E252.038 .... 586 p205.257 .... 764 packets received, 7633 bps, 95.42%, E254.151 .... 594 p207.367 .... 772 packets received, 7635 bps, 95.43%, E256.282 .... 602 p209.494 .... 780 packets received, 7635 bps, 95.44%, E258.379 .... 610 p211.873 .... 784 packets received, 7588 bps, 94.85%, E260.491 .... 618 p213.983 .... 796 packets received, 7628 bps, 95.35%, E262.603 .... 626 p216.095 .... 804 packets received, 7629 bps, 95.37%, E264.713 .... 634 p218.205 .... 812 packets received, 7631 bps, 95.38%, E266.822 .... 642 p220.313 .... 820 packets received, 7632 bps, 95.40%, E268.931 .... 650 p222.428 .... 828 packets received, 7633 bps, 95.42%, E271.056 .... 658 p224.541 .... 836 packets received, 7634 bps, 95.43%, E273.694 .... 664 packets received, 4992 bps, 62.40%, Err 15 (1.0e-005)
275.809 .... 675 packets received, 5036 bps, 62.95%, Err 15 (1.0e-005)
277.922 .... 683 packets received, 5057 bps, 63.21%, Err 15 (1.0e-005)
280.033 .... 691 packets received, 5077 bps, 63.46%, Err 15 (1.0e-005)
282.146 .... 699 packets received, 5097 bps, 63.72%, Err 15 (9.9e-006)
284.288 .... 707 packets received, 5117 bps, 63.96%, Err 15 (9.8e-006)
286.397 .... 715 packets received, 5136 bps, 64.20%, Err 15 (9.7e-006)
288.511 .... 723 packets received, 5155 bps, 64.44%, Err 15 (9.6e-006)
290.623 .... 731 packets received, 5174 bps, 64.68%, Err 15 (9.5e-006)
292.722 .... 739 packets received, 5193 bps, 64.92%, Err 15 (9.4e-006)
294.830 .... 747 packets received, 5212 bps, 65.15%, Err 15 (9.3e-006)
296.958 .... 755 packets received, 5230 bps, 65.37%, Err 15 (9.2e-006)
299.068 .... 763 packets received, 5248 bps, 65.60%, Err 15 (9.1e-006)
304.487 .... 769 packets received, 5195 bps, 64.93%, Err 15 (9.0e-006)
308.643 .... 770 packets received, 5131 bps, 64.14%, Err 15 (9.0e-006)
312.776 .... 771 packets received, 5069 bps, 63.37%, Err 15 (9.0e-006)
316.863 .... 772 packets received, 5010 bps, 62.63%, Err 15 (9.0e-006)
321.015 .... 773 packets received, 4952 bps, 61.89%, Err 15 (9.0e-006)
325.105 .... 774 packets received, 4895 bps, 61.19%, Err 15 (9.0e-006)
329.180 .... 775 packets received, 4841 bps, 60.51%, Err 15 (9.0e-006)
333.286 .... 776 packets received, 4787 bps, 59.84%, Err 15 (8.9e-006)
337.376 .... 777 packets received, 4735 bps, 59.19%, Err 15 (8.9e-006)
341.498 .... 778 packets received, 4684 bps, 58.54%, Err 15 (8.9e-006)
345.599 .... 779 packets received, 4634 bps, 57.92%, Err 15 (8.9e-006)
349.724 .... 780 packets received, 4585 bps, 57.31%, Err 15 (8.9e-006)
354.846 .... 781 packets received, 4524 bps, 56.55%, Err 16 (9.5e-006)
357.936 .... 782 packets received, 4491 bps, 56.13%, Err 16 (9.4e-006)
361.974 .... 783 packets received, 4446 bps, 55.58%, Err 16 (9.4e-006)
366.099 .... 784 packets received, 4401 bps, 55.02%, Err 16 (9.4e-006)
