C:\Users\Lao Shi\protocol_laoshi\datalink.exe -af -port 44440 
=========================================================================
                          Station A                                 
-------------------------------------------------------------------------
Protocol.lib, version 3.0, Build: Oct 19 2009 (jiangy@public3.bta.net.cn)
Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-005
Log file "C:\Users\Lao Shi\protocol_laoshi\datalink-A.log", TCP port 44440, debug mask 0x00
Station A is waiting for station B on TCP port 44440 ... Done.
New epoch: Wed May 18 13:30:59 2016
=========================================================================
2.671 .... 2 packets received, 1717 bps, 21.47%, Err 1 (4.7e-005)
4.800 .... 10 packets received, 4537 bps, 56.71%, Err 1 (2.6e-005)
7.178 .... 12 packets received, 3566 bps, 44.57%, Err 1 (1.7e-005)
9.286 .... 20 packets received, 4551 bps, 56.89%, Err 1 (1.3e-005)
11.397 .... 28 packets received, 5161 bps, 64.51%, Err 1 (1.1e-005)
13.509 .... 36 packets received, 5576 bps, 69.70%, Err 1 (9.3e-006)
15.647 .... 44 packets received, 5866 bps, 73.33%, Err 2 (1.6e-005)
17.750 .... 52 packets received, 6098 bps, 76.23%, Err 2 (1.4e-005)
19.865 .... 60 packets received, 6276 bps, 78.45%, Err 2 (1.3e-005)
23.575 .... 67 packets received, 5892 bps, 73.65%, Err 2 (1.1e-005)
25.687 .... 75 packets received, 6047 bps, 75.59%, Err 2 (9.7e-006)
27.799 .... 83 packets received, 6178 bps, 77.23%, Err 3 (1.4e-005)
29.909 .... 91 packets received, 6291 bps, 78.64%, Err 3 (1.3e-005)
32.035 .... 99 packets received, 6386 bps, 79.83%, Err 3 (1.2e-005)
34.132 .... 107 packets received, 6475 bps, 80.93%, Err 4 (1.5e-005)
36.254 .... 115 packets received, 6548 bps, 81.85%, Err 4 (1.4e-005)
38.364 .... 123 packets received, 6615 bps, 82.69%, Err 4 (1.3e-005)
40.462 .... 131 packets received, 6678 bps, 83.47%, Err 4 (1.2e-005)
42.573 .... 139 packets received, 6732 bps, 84.15%, Err 4 (1.2e-005)
