C:\Users\Lao Shi\protocol_laoshi\laoshi_selective.exe -af 
=========================================================================
                          Station A                                 
-------------------------------------------------------------------------
Protocol.lib, version 3.0, Build: Oct 19 2009 (jiangy@public3.bta.net.cn)
Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-005
Log file "C:\Users\Lao Shi\protocol_laoshi\laoshi_selective-A.log", TCP port 59144, debug mask 0x00
Station A is waiting for station B on TCP port 59144 ... Done.
New epoch: Mon May 09 21:12:55 2016
=========================================================================
2.425 .... 7 packets received, 6640 bps, 83.00%, Err 1 (5.2e-005)
4.589 .... 15 packets received, 7106 bps, 88.83%, Err 1 (2.7e-005)
6.748 .... 23 packets received, 7267 bps, 90.84%, Err 1 (1.9e-005)
8.937 .... 31 packets received, 7322 bps, 91.52%, Err 1 (1.4e-005)
11.098 .... 39 packets received, 7374 bps, 92.17%, Err 1 (1.1e-005)
13.249 .... 47 packets received, 7414 bps, 92.68%, Err 1 (9.5e-006)
15.424 .... 55 packets received, 7431 bps, 92.89%, Err 2 (1.6e-005)
17.593 .... 63 packets received, 7446 bps, 93.08%, Err 2 (1.4e-005)
19.777 .... 71 packets received, 7453 bps, 93.16%, Err 2 (1.3e-005)
21.917 .... 79 packets received, 7473 bps, 93.41%, Err 2 (1.1e-005)
24.102 .... 87 packets received, 7475 bps, 93.44%, Err 2 (1.0e-005)
26.266 .... 95 packets received, 7483 bps, 93.54%, Err 2 (9.5e-006)
29.787 .... 103 packets received, 7146 bps, 89.32%, Err 3 (1.3e-005)
31.941 .... 115 packets received, 7436 bps, 92.94%, Err 3 (1.2e-005)
34.109 .... 123 packets received, 7443 bps, 93.04%, Err 3 (1.1e-005)
36.266 .... 130 packets received, 7396 bps, 92.44%, Err 4 (1.4e-005)
38.422 .... 138 packets received, 7407 bps, 92.59%, Err 4 (1.3e-005)
40.562 .... 146 packets received, 7420 bps, 92.75%, Err 4 (1.2e-005)
42.746 .... 154 packets received, 7424 bps, 92.81%, Err 4 (1.2e-005)
44.914 .... 162 packets received, 7431 bps, 92.89%, Err 4 (1.1e-005)
