C:\Users\Lao Shi\protocol_laoshi\laoshi_selective.exe -af 
=========================================================================
                          Station A                                 
-------------------------------------------------------------------------
Protocol.lib, version 3.0, Build: Oct 19 2009 (jiangy@public3.bta.net.cn)
Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-005
Log file "C:\Users\Lao Shi\protocol_laoshi\laoshi_selective-A.log", TCP port 59144, debug mask 0x00
Station A is waiting for station B on TCP port 59144 ... Done.
New epoch: Sun May 08 09:12:08 2016
=========================================================================
2.412 .... 3 packets received, 2866 bps, 35.82%, Err 1 (5.3e-005)
4.513 .... 14 packets received, 6754 bps, 84.43%, Err 1 (3.0e-005)
6.613 .... 22 packets received, 7101 bps, 88.76%, Err 1 (2.0e-005)
8.756 .... 30 packets received, 7238 bps, 90.48%, Err 1 (1.5e-005)
10.866 .... 38 packets received, 7343 bps, 91.79%, Err 1 (1.2e-005)
12.963 .... 46 packets received, 7421 bps, 92.76%, Err 1 (9.9e-006)
15.085 .... 54 packets received, 7464 bps, 93.30%, Err 1 (8.5e-006)
17.182 .... 62 packets received, 7507 bps, 93.84%, Err 2 (1.5e-005)
19.315 .... 70 packets received, 7527 bps, 94.08%, Err 2 (1.3e-005)
21.422 .... 78 packets received, 7551 bps, 94.39%, Err 2 (1.2e-005)
23.541 .... 86 packets received, 7568 bps, 94.60%, Err 2 (1.1e-005)
25.645 .... 94 packets received, 7586 bps, 94.83%, Err 2 (9.9e-006)
27.749 .... 102 packets received, 7601 bps, 95.02%, Err 2 (9.1e-006)
30.401 .... 107 packets received, 7272 bps, 90.90%, Err 3 (1.2e-005)
32.509 .... 118 packets received, 7496 bps, 93.69%, Err 3 (1.2e-005)
34.626 .... 126 packets received, 7511 bps, 93.88%, Err 3 (1.1e-005)
36.997 .... 131 packets received, 7305 bps, 91.31%, Err 4 (1.4e-005)
39.108 .... 141 packets received, 7435 bps, 92.94%, Err 5 (1.6e-005)
41.226 .... 149 packets received, 7450 bps, 93.13%, Err 5 (1.5e-005)
43.334 .... 157 packets received, 7466 bps, 93.33%, Err 5 (1.5e-005)
45.459 .... 165 packets received, 7478 bps, 93.47%, Err 5 (1.4e-005)
47.582 .... 173 packets received, 7488 bps, 93.60%, Err 5 (1.3e-005)
49.681 .... 181 packets received, 7502 bps, 93.77%, Err 5 (1.3e-005)
51.802 .... 189 packets received, 7511 bps, 93.89%, Err 5 (1.2e-005)
53.897 .... 197 packets received, 7523 bps, 94.04%, Err 5 (1.2e-005)
56.034 .... 205 packets received, 7529 bps, 94.11%, Err 5 (1.1e-005)
58.141 .... 213 packets received, 7538 bps, 94.22%, Err 5 (1.1e-005)
