C:\Users\Lao Shi\protocol_laoshi\laoshi_selective.exe -a 
=========================================================================
                          Station A                                 
-------------------------------------------------------------------------
Protocol.lib, version 3.0, Build: Oct 19 2009 (jiangy@public3.bta.net.cn)
Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-005
Log file "C:\Users\Lao Shi\protocol_laoshi\laoshi_selective-A.log", TCP port 59144, debug mask 0x00
Station A is waiting for station B on TCP port 59144 ... Done.
New epoch: Sun May 08 00:58:24 2016
=========================================================================
3.425 .... 7 packets received, 6781 bps, 84.77%, Err 1 (5.3e-005)
5.507 .... 14 packets received, 6833 bps, 85.41%, Err 1 (3.0e-005)
7.609 .... 22 packets received, 7154 bps, 89.43%, Err 1 (2.0e-005)
9.722 .... 30 packets received, 7305 bps, 91.31%, Err 1 (1.5e-005)
11.843 .... 38 packets received, 7389 bps, 92.37%, Err 1 (1.2e-005)
13.965 .... 46 packets received, 7445 bps, 93.06%, Err 1 (9.9e-006)
16.074 .... 54 packets received, 7491 bps, 93.64%, Err 1 (8.4e-006)
18.441 .... 58 packets received, 6934 bps, 86.68%, Err 2 (1.5e-005)
20.602 .... 69 packets received, 7325 bps, 91.57%, Err 2 (1.3e-005)
22.707 .... 77 packets received, 7370 bps, 92.13%, Err 2 (1.2e-005)
24.818 .... 85 packets received, 7405 bps, 92.57%, Err 2 (1.1e-005)
26.939 .... 93 packets received, 7432 bps, 92.90%, Err 2 (9.9e-006)
29.051 .... 101 packets received, 7457 bps, 93.21%, Err 2 (9.1e-006)
31.165 .... 109 packets received, 7477 bps, 93.47%, Err 3 (1.3e-005)
33.274 .... 117 packets received, 7497 bps, 93.71%, Err 3 (1.2e-005)
35.373 .... 125 packets received, 7516 bps, 93.95%, Err 3 (1.1e-005)
38.273 .... 131 packets received, 7258 bps, 90.73%, Err 4 (1.4e-005)
40.439 .... 142 packets received, 7432 bps, 92.91%, Err 4 (1.3e-005)
42.541 .... 150 packets received, 7451 bps, 93.14%, Err 4 (1.2e-005)
44.661 .... 158 packets received, 7464 bps, 93.31%, Err 4 (1.2e-005)
46.774 .... 166 packets received, 7478 bps, 93.47%, Err 4 (1.1e-005)
48.893 .... 174 packets received, 7489 bps, 93.62%, Err 4 (1.1e-005)
51.001 .... 182 packets received, 7501 bps, 93.77%, Err 4 (1.0e-005)
53.121 .... 190 packets received, 7511 bps, 93.88%, Err 4 (9.8e-006)
55.222 .... 198 packets received, 7522 bps, 94.02%, Err 4 (9.4e-006)
57.334 .... 206 packets received, 7531 bps, 94.13%, Err 5 (1.1e-005)
59.448 .... 214 packets received, 7539 bps, 94.23%, Err 5 (1.1e-005)
61.557 .... 222 packets received, 7547 bps, 94.33%, Err 5 (1.0e-005)
63.677 .... 230 packets received, 7553 bps, 94.41%, Err 5 (1.0e-005)
65.799 .... 238 packets received, 7558 bps, 94.48%, Err 5 (9.8e-006)
67.903 .... 246 packets received, 7566 bps, 94.57%, Err 5 (9.5e-006)
70.002 .... 254 packets received, 7573 bps, 94.66%, Err 5 (9.2e-006)
72.119 .... 262 packets received, 7578 bps, 94.72%, Err 5 (8.9e-006)
74.239 .... 270 packets received, 7582 bps, 94.78%, Err 5 (8.6e-006)
76.353 .... 278 packets received, 7587 bps, 94.84%, Err 5 (8.4e-006)
78.475 .... 286 packets received, 7591 bps, 94.88%, Err 5 (8.2e-006)
80.556 .... 294 packets received, 7598 bps, 94.98%, Err 5 (7.9e-006)
82.678 .... 302 packets received, 7601 bps, 95.02%, Err 5 (7.7e-006)
84.799 .... 310 packets received, 7604 bps, 95.06%, Err 5 (7.5e-006)
87.973 .... 318 packets received, 7515 bps, 93.94%, Err 7 (1.0e-005)
90.071 .... 328 packets received, 7568 bps, 94.60%, Err 7 (9.9e-006)
92.189 .... 334 packets received, 7527 bps, 94.09%, Err 7 (9.7e-006)
94.308 .... 342 packets received, 7532 bps, 94.14%, Err 7 (9.5e-006)
96.686 .... 346 packets received, 7430 bps, 92.87%, Err 8 (1.1e-005)
98.811 .... 357 packets received, 7499 bps, 93.74%, Err 8 (1.0e-005)
104.349 .... 364 packets received, 7235 bps, 90.44%, Err 8 (1.0e-005)
108.535 .... 365 packets received, 6972 bps, 87.14%, Err 8 (1.0e-005)
112.664 .... 366 packets received, 6731 bps, 84.14%, Err 8 (1.0e-005)
116.769 .... 367 packets received, 6510 bps, 81.37%, Err 8 (1.0e-005)
120.988 .... 368 packets received, 6297 bps, 78.72%, Err 8 (1.0e-005)
125.022 .... 369 packets received, 6109 bps, 76.36%, Err 8 (1.0e-005)
129.128 .... 370 packets received, 5928 bps, 74.11%, Err 8 (1.0e-005)
133.254 .... 371 packets received, 5759 bps, 71.98%, Err 8 (1.0e-005)
137.306 .... 372 packets received, 5602 bps, 70.03%, Err 8 (1.0e-005)
141.458 .... 373 packets received, 5451 bps, 68.13%, Err 8 (9.9e-006)
145.608 .... 374 packets received, 5308 bps, 66.35%, Err 8 (9.9e-006)
149.740 .... 375 packets received, 5174 bps, 64.68%, Err 8 (9.9e-006)
153.881 .... 376 packets received, 5047 bps, 63.09%, Err 8 (9.8e-006)
157.943 .... 377 packets received, 4929 bps, 61.62%, Err 8 (9.8e-006)
162.019 .... 378 packets received, 4817 bps, 60.21%, Err 8 (9.8e-006)
166.115 .... 379 packets received, 4710 bps, 58.87%, Err 8 (9.8e-006)
170.145 .... 380 packets received, 4609 bps, 57.62%, Err 8 (9.7e-006)
174.254 .... 381 packets received, 4512 bps, 56.40%, Err 8 (9.7e-006)
178.443 .... 382 packets received, 4417 bps, 55.21%, Err 8 (9.7e-006)
182.486 .... 383 packets received, 4329 bps, 54.12%, Err 9 (1.1e-005)
186.581 .... 384 packets received, 4245 bps, 53.06%, Err 9 (1.1e-005)
190.695 .... 385 packets received, 4163 bps, 52.04%, Err 9 (1.1e-005)
194.727 .... 386 packets received, 4087 bps, 51.09%, Err 9 (1.1e-005)
198.818 .... 387 packets received, 4013 bps, 50.16%, Err 9 (1.1e-005)
201.053 .... 390 packets received, 3999 bps, 49.98%, Err 9 (1.1e-005)
203.165 .... 398 packets received, 4038 bps, 50.48%, Err 9 (1.0e-005)
205.273 .... 406 packets received, 4077 bps, 50.96%, Err 9 (1.0e-005)
207.663 .... 410 packets received, 4069 bps, 50.86%, Err 10 (1.1e-005)
209.777 .... 421 packets received, 4136 bps, 51.70%, Err 10 (1.1e-005)
212.413 .... 426 packets received, 4133 bps, 51.66%, Err 11 (1.2e-005)
214.516 .... 437 packets received, 4198 bps, 52.47%, Err 11 (1.2e-005)
216.629 .... 445 packets received, 4233 bps, 52.91%, Err 11 (1.1e-005)
218.755 .... 453 packets received, 4267 bps, 53.33%, Err 11 (1.1e-005)
220.859 .... 461 packets received, 4300 bps, 53.75%, Err 11 (1.1e-005)
222.959 .... 469 packets received, 4334 bps, 54.17%, Err 11 (1.1e-005)
225.077 .... 477 packets received, 4366 bps, 54.57%, Err 11 (1.1e-005)
227.190 .... 485 packets received, 4397 bps, 54.97%, Err 11 (1.0e-005)
229.304 .... 493 packets received, 4428 bps, 55.36%, Err 11 (1.0e-005)
231.394 .... 501 packets received, 4459 bps, 55.74%, Err 11 (1.0e-005)
233.535 .... 509 packets received, 4489 bps, 56.11%, Err 11 (1.0e-005)
235.651 .... 517 packets received, 4518 bps, 56.48%, Err 11 (9.8e-006)
237.751 .... 525 packets received, 4547 bps, 56.84%, Err 11 (9.7e-006)
239.852 .... 533 packets received, 4576 bps, 57.20%, Err 12 (1.0e-005)
241.976 .... 540 packets received, 4595 bps, 57.44%, Err 12 (1.0e-005)
244.101 .... 547 packets received, 4614 bps, 57.68%, Err 12 (1.0e-005)
246.236 .... 555 packets received, 4641 bps, 58.01%, Err 13 (1.1e-005)
248.344 .... 563 packets received, 4667 bps, 58.34%, Err 13 (1.1e-005)
250.466 .... 571 packets received, 4693 bps, 58.67%, Err 13 (1.1e-005)
252.573 .... 579 packets received, 4719 bps, 58.99%, Err 13 (1.0e-005)
254.674 .... 587 packets received, 4745 bps, 59.31%, Err 13 (1.0e-005)
256.802 .... 595 packets received, 4769 bps, 59.62%, Err 13 (1.0e-005)
258.919 .... 603 packets received, 4794 bps, 59.92%, Err 13 (1.0e-005)
262.350 .... 611 packets received, 4794 bps, 59.92%, Err 14 (1.1e-005)
264.466 .... 622 packets received, 4841 bps, 60.51%, Err 14 (1.0e-005)
266.585 .... 630 packets received, 4864 bps, 60.80%, Err 14 (1.0e-005)
268.693 .... 638 packets received, 4887 bps, 61.08%, Err 14 (1.0e-005)
270.814 .... 646 packets received, 4909 bps, 61.36%, Err 14 (1.0e-005)
272.918 .... 654 packets received, 4931 bps, 61.64%, Err 14 (9.9e-006)
275.051 .... 662 packets received, 4953 bps, 61.91%, Err 14 (9.8e-006)
277.159 .... 670 packets received, 4974 bps, 62.18%, Err 14 (9.7e-006)
279.268 .... 678 packets received, 4996 bps, 62.44%, Err 14 (9.5e-006)
281.379 .... 686 packets received, 5016 bps, 62.70%, Err 15 (1.0e-005)
283.487 .... 694 packets received, 5037 bps, 62.96%, Err 15 (1.0e-005)
285.615 .... 702 packets received, 5057 bps, 63.21%, Err 15 (9.9e-006)
287.713 .... 710 packets received, 5077 bps, 63.46%, Err 15 (9.8e-006)
